ID,ISBN,title,author,quantity,genre,availability,barcode,status
9fa93f26-2176-11ef-ab8e-325096b39f47,978-0141033570,1984,George Orwell,5,Fiction,5,1234567890123,Available 
9fa940fc-2176-11ef-a9f7-325096b39f47,978-0061120084,To Kill a Mockingbird,Harper Lee,3,Fiction,3,2345678901234,Reserved 
9fa94174-2176-11ef-9c6b-325096b39f47,978-0545010221,Harry Potter and the Sorcerer's Stone,J.K. Rowling,8,Fantasy,8,3456789012345,Available 
9fa941c4-2176-11ef-bb3c-325096b39f47,978-0385504201,The Da Vinci Code,Dan Brown,6,Mystery,6,4567890123456,Available 
9fa9420a-2176-11ef-9595-325096b39f47,978-0062315007,The Fault in Our Stars,John Green,4,Romance,4,5678901234567,Available 
9fa9425a-2176-11ef-810a-325096b39f47,978-1455586691,The Girl on the Train,Paula Hawkins,2,Thriller,2,6789012345678,Available 
9fa94296-2176-11ef-991e-325096b39f47,978-0307277672,The Catcher in the Rye,J.D. Salinger,7,Fiction,7,7890123456789,Available 
9fa942dc-2176-11ef-85dd-325096b39f47,978-0316015844,Twilight,Stephenie Meyer,9,Fantasy,9,8901234567890,Available 
9fa94322-2176-11ef-9bd2-325096b39f47,978-0385514231,Angels & Demons,Dan Brown,5,Mystery,5,9012345678901,Available 
9fa94368-2176-11ef-92e9-325096b39f47,978-0316769174,The Bell Jar,Sylvia Plath,1,Drama,0,0123456789012,Availabl
